f.24	f.23	0.022
c.79	c.2	0.00023
d.141	b.108	0.057
d.54	a.24	0.017
e.52	c.79	0.094
c.30	c.2	0.0014
e.64	a.26	0.011
c.44	c.23	0.062
c.31	a.180	0.09
c.57	c.23	0.016
b.69	b.18	0.0071
g.80	g.49	0.0076
d.141	b.18	0.023
d.76	d.58	0.043
g.60	d.134	0.014
c.66	c.37	0.013
d.379	a.61	0.018
f.46	b.84	0.012
c.116	c.108	0.0085
c.37	c.23	0.09
c.79	c.3	0.055
d.293	b.60	0.013
c.67	c.30	0.052
c.87	c.1	2.1
c.37	a.245	0.047
d.40	b.52	0.074
c.30	c.3	0.033
c.23	a.39	0.019
g.90	g.39	0.021
b.163	b.100	0.0092
b.86	b.145	0.063
c.2	c.111	2.6e-06
d.368	c.47	0.073
g.41	c.37	0.00038
c.67	a.108	0.75
a.30	a.23	0.095
g.80	b.82	0.023
g.39	b.2	0.0094
g.49	g.44	0.013
d.211	a.118	0.0092
c.96	a.137	0.0026
d.43	a.42	0.013
d.47	c.50	0.03
d.131	a.4	0.034
d.347	d.273	0.049
b.82	a.189	0.036
b.6	b.1	0.012
b.119	b.108	0.11
g.80	b.55	0.1
g.24	a.138	9.6
a.60	a.289	0.003
b.35	b.123	0.0069
a.264	a.26	0.0057
d.308	b.37	0.0018
g.80	d.67	0.0031
a.47	a.183	1.6
e.40	a.155	0.023
e.24	d.51	0.012
d.236	c.37	0.05
d.145	c.72	0.17
c.32	c.2	0.00011
c.94	b.129	0.064
a.60	a.190	0.035
a.6	a.242	0.031
a.27	a.152	0.082
a.5	a.4	0.041
g.82	d.120	0.027
d.242	d.240	0.075
e.11	c.23	0.14
e.18	c.2	0.075
d.67	d.58	0.074
d.81	d.186	0.065
g.80	g.44	0.0002
c.47	a.192	0.047
c.61	c.23	0.078
d.58	a.12	0.039
a.22	a.118	0.077
d.140	a.8	0.1
d.43	a.24	0.18
c.94	c.44	0.0056
d.51	d.156	0.082
a.7	a.47	7.3
c.65	c.2	0.03
a.4	a.20	0.069
b.6	b.23	0.00068
g.50	g.49	0.00013
c.23	c.1	0.0051
g.41	e.49	0.022
d.78	c.124	0.04
d.382	b.34	0.1
a.39	a.170	0.064
d.80	a.25	0.072
d.52	b.148	0.0004
d.26	c.60	0.015
c.46	c.2	0.021
a.4	a.267	0.025
g.54	a.138	0.31
d.222	a.63	3.3
g.50	g.38	0.68
d.274	c.2	0.005
c.51	a.140	0.023
d.355	b.40	0.057
c.89	c.23	0.0028
d.372	b.53	0.05
b.69	b.68	3.3e-05
d.359	b.2	0.024
c.79	c.66	1.9e-05
d.195	c.93	0.0084
d.68	c.135	0.049
d.37	d.107	0.1
d.140	c.58	0.039
b.105	a.262	0.032
a.266	a.121	0.009
c.66	c.2	3.5e-05
g.39	c.47	0.035
d.135	a.204	0.053
d.58	a.76	0.073
d.38	a.71	0.086
c.1	b.55	0.0084
g.80	a.5	1.7
g.39	a.60	0.093
a.216	a.215	0.0093
d.285	a.4	0.047
d.58	d.45	0.048
e.38	c.25	0.074
f.53	b.1	0.064
g.80	a.40	0.14
d.83	c.78	0.032
c.66	c.3	0.0069
c.73	c.145	0.0029
c.24	a.60	0.087
g.50	g.44	6.5e-06
d.242	b.52	0.035
d.276	a.127	0.036
g.44	d.288	0.01
d.205	c.6	0.1
c.93	c.23	0.00069
d.64	d.57	0.0087
f.17	f.13	0.011
d.122	c.3	0.024
c.1	a.39	0.06
b.3	b.148	1.3e-06
c.98	a.218	0.048
d.157	c.66	0.0051
d.149	c.1	0.12
c.2	b.173	0.023
c.58	a.42	0.086
e.49	a.60	0.058
f.23	c.82	1.4
a.4	a.35	0.00029
a.27	a.24	0.055
g.67	b.34	0.025
f.7	b.82	0.1
c.37	a.172	0.0092
d.153	a.80	0.11
d.56	d.129	0.004
c.66	c.116	0.051
c.42	a.118	0.061
c.4	c.2	1.1e-09
a.181	a.118	0.009
d.115	a.4	0.02
d.265	b.60	0.0044
g.50	g.37	1.9
c.23	c.2	7.7e-06
c.23	c.103	0.029
d.131	a.123	0.04
g.39	b.55	0.062
c.66	c.23	0.0017
a.74	a.4	0.0049
c.58	a.38	0.021
d.58	a.5	0.014
d.153	a.31	0.12
c.4	c.3	3.5e-13
d.101	a.39	0.024
e.51	c.2	0.0031
a.7	a.25	0.0049
e.29	c.2	0.044
d.58	d.307	0.011
d.236	a.35	0.027
a.63	a.47	0.088
d.22	b.71	0.044
d.6	b.100	0.12
a.7	a.118	6
c.67	c.1	0.00053
c.30	c.23	0.01
d.43	c.57	0.043
d.63	d.32	0.083
d.54	d.50	0.0042
d.58	d.151	0.11
e.67	d.106	0.0021
a.7	a.281	0.052
d.325	d.205	0.0044
c.5	c.3	0.00097
c.124	a.235	0.039
g.59	g.45	0.021
f.1	d.354	0.09
g.47	g.37	0.11
e.50	d.115	0.019
b.72	b.1	0.0046
c.90	c.57	0.06
d.50	a.7	0.0035
a.25	a.129	0.049
g.90	d.4	0.049
b.4	a.165	0.034
d.118	a.60	0.022
d.68	a.42	0.064
d.229	a.118	0.011
g.85	g.43	0.027
a.60	a.5	0.049
c.57	c.2	0.032
g.91	c.55	0.048
g.80	d.169	0.52
d.52	a.244	0.052
g.80	b.34	0.011
g.21	b.18	0.026
a.64	a.204	0.056
a.22	a.174	0.045
d.280	a.60	0.049
g.40	a.142	0.11
a.3	a.138	9.8e-06
c.92	a.24	0.03
c.24	c.2	0.00028
c.108	a.4	0.033
d.278	a.43	0.013
g.50	b.82	0.061
a.71	a.264	0.02
a.43	a.4	0.097
b.76	b.106	0.0033
c.2	b.94	0.0094
c.86	a.218	0.1
b.14	a.211	0.074
g.80	d.15	0.036
c.55	a.128	0.043
c.23	b.148	0.095
d.288	b.36	0.078
d.305	a.172	0.054
c.25	c.119	0.059
b.70	b.69	9.4e-05
c.37	c.3	0.036
d.310	c.23	0.045
c.3	c.1	0.0022
g.76	a.29	0.022
c.127	a.231	0.014
a.4	a.289	0.017
g.45	g.39	0.06
g.41	a.170	0.011
g.87	g.44	0.37
g.41	b.40	0.042
c.2	c.108	0.046
c.47	a.29	0.0062
c.95	c.55	0.058
c.51	c.1	0.02
g.41	g.39	0.0063
a.4	a.157	0.058
d.361	c.56	0.053
c.79	c.72	0.0013
c.57	c.56	0.07
e.25	d.109	0.031
c.81	c.31	1.2e-07
b.43	b.114	0.12
d.67	a.182	0.011
g.42	c.93	0.052
d.266	a.186	0.04
c.37	c.116	0.06
d.126	c.30	0.11
c.102	a.4	0.1
e.10	a.96	0.0042
c.108	b.44	0.019
c.37	a.214	0.031
c.5	c.4	0.016
a.42	a.4	2.1
b.92	b.84	0.055
d.277	d.17	0.39
g.37	c.52	0.022
g.69	b.168	0.052
d.303	d.152	0.11
b.121	b.103	0.061
c.91	c.37	0.0046
c.26	c.23	0.016
d.145	a.14	0.039
e.61	a.118	9.4e-05
e.32	b.84	0.03
d.58	a.108	0.071
g.37	a.4	0.017
c.24	c.23	0.034
d.58	c.67	0.056
d.41	b.36	0.02
g.49	g.41	0.0036
c.47	c.103	0.094
a.18	a.140	0.0097
g.41	g.37	0.0014
c.37	b.148	0.061
g.41	c.26	0.0017
b.1	a.142	0.11
d.108	c.1	0.027
d.68	b.148	1.1e-05
d.207	a.121	0.017
c.95	c.66	0.073
d.58	d.202	0.054
a.5	a.137	0.14
c.1	a.220	0.043
g.44	g.41	0.0094
d.352	a.24	0.023
b.29	b.160	0.022
d.213	d.110	0.01
d.141	a.157	0.013
e.27	d.143	0.058
c.73	c.108	0.003
c.98	c.1	0.054
g.59	g.41	0.017
a.47	a.24	0.0097
b.26	b.161	0.068
a.277	a.118	0.067
a.7	a.183	4.2
c.3	c.111	0.00016
d.48	a.25	0.061
d.27	b.29	0.1
d.211	c.23	0.015
d.50	a.209	0.082
c.2	c.131	0.082
c.5	c.2	0.0055
g.49	g.39	2.2
a.96	a.60	0.027
c.93	c.78	0.027
c.47	a.153	0.039
f.31	e.22	0.043
d.108	b.58	0.063
d.115	c.67	0.055
d.66	d.104	0.034
c.52	c.23	0.019
d.122	c.108	0.027
c.33	c.2	0.099
a.28	a.108	0.7
g.44	g.39	0.017
c.72	c.2	0.0029
d.308	b.26	0.075
c.17	a.4	0.077
c.3	c.2	3.2e-06
d.371	d.14	0.013
d.31	a.35	0.014
d.352	d.151	0.085
g.41	g.40	0.013
c.2	c.129	0.014
d.159	b.66	0.095
d.107	b.70	0.08
f.8	d.281	0.077
c.72	c.3	0.028
g.41	b.82	0.0013
c.89	c.1	0.11
c.37	a.45	0.083
b.34	b.172	0.00081
d.53	b.40	0.023
b.60	b.112	0.039
c.67	b.148	0.089
g.80	a.4	0.00017
c.37	c.2	0.072
c.31	c.2	0.05
a.24	a.151	0.0017
d.52	d.51	0.0019
d.287	b.34	0.032
g.42	c.95	0.67
a.24	a.215	0.00029
d.162	a.128	0.0092
d.142	b.63	0.065
b.34	b.122	0.11
e.42	a.4	0.0098
e.6	a.4	0.053
c.47	c.108	0.01
c.2	a.5	0.11
d.139	c.13	0.022
d.80	a.30	0.021
c.94	c.77	0.034
g.62	b.42	7.9
d.259	b.139	0.046
d.144	a.55	0.049
d.17	b.55	0.051
g.41	c.48	0.12
a.25	a.1	0.031
c.79	c.32	0.018
c.94	b.36	0.019
a.4	a.159	0.0091
a.39	a.139	0.00015
d.152	c.131	0.048
b.94	b.6	0.012
d.116	c.47	0.041
b.15	a.26	0.038
g.39	g.37	0.0073
c.56	b.35	0.042
d.326	b.34	0.05
c.69	a.132	0.13
d.129	a.249	0.016
c.76	c.23	0.0089
g.50	g.41	0.049
c.80	c.2	0.0092
g.80	d.76	0.041
b.71	b.128	0.039
g.91	a.22	0.039
c.94	c.108	0.072
g.26	d.4	0.036
c.41	b.51	0.099
d.285	b.34	0.017
d.58	a.46	0.069
d.195	b.69	0.019
g.50	a.42	1.9
c.108	c.1	0.082
d.271	c.3	0.11
